cd_cidade;cidade;nome;favorabilidade;importancia;classificacaoAtor;tipoDocumento;tipoAtor;apelido
1100205;Porto Velho;Câmara Municipal de Porto Velho;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Porto Velho
1100254;Presidente Médici;Câmara Municipal de Presidente Médici;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Presidente Médici
1101476;Primavera de Rondônia;Câmara Municipal de Primavera de Rondônia;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Primavera de Rondônia
1100262;Rio Crespo;Câmara Municipal de Rio Crespo;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Rio Crespo
1100288;Rolim de Moura;Câmara Municipal de Rolim de Moura;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Rolim de Moura
1100296;Santa Luzia D'Oeste;Câmara Municipal de Santa Luzia D'Oeste;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Santa Luzia D'Oeste
1101484;São Felipe D'Oeste;Câmara Municipal de São Felipe D'Oeste;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de São Felipe D'Oeste
1101492;São Francisco do Guaporé;Câmara Municipal de São Francisco do Guaporé;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de São Francisco do Guaporé
1100320;São Miguel do Guaporé;Câmara Municipal de São Miguel do Guaporé;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de São Miguel do Guaporé
1101500;Seringueiras;Câmara Municipal de Seringueiras;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Seringueiras
1101559;Teixeirópolis;Câmara Municipal de Teixeirópolis;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Teixeirópolis
1101609;Theobroma;Câmara Municipal de Theobroma;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Theobroma
1101708;Urupá;Câmara Municipal de Urupá;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Urupá
1101757;Vale do Anari;Câmara Municipal de Vale do Anari;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Vale do Anari
1101807;Vale do Paraíso;Câmara Municipal de Vale do Paraíso;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Vale do Paraíso
1100304;Vilhena;Câmara Municipal de Vilhena;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Vilhena
1200013;Acrelândia;Câmara Municipal de Acrelândia;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Acrelândia
1200054;Assis Brasil;Câmara Municipal de Assis Brasil;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Assis Brasil
1200104;Brasiléia;Câmara Municipal de Brasiléia;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Brasiléia
1200138;Bujari;Câmara Municipal de Bujari;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Bujari
1200179;Capixaba;Câmara Municipal de Capixaba;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Capixaba
1200203;Cruzeiro do Sul;Câmara Municipal de Cruzeiro do Sul;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Cruzeiro do Sul
1200252;Epitaciolândia;Câmara Municipal de Epitaciolândia;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Epitaciolândia
1200302;Feijó;Câmara Municipal de Feijó;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Feijó
1200328;Jordão;Câmara Municipal de Jordão;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Jordão
1200336;Mâncio Lima;Câmara Municipal de Mâncio Lima;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Mâncio Lima
1200344;Manoel Urbano;Câmara Municipal de Manoel Urbano;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Manoel Urbano
1200351;Marechal Thaumaturgo;Câmara Municipal de Marechal Thaumaturgo;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Marechal Thaumaturgo
1200385;Plácido de Castro;Câmara Municipal de Plácido de Castro;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Plácido de Castro
1200807;Porto Acre;Câmara Municipal de Porto Acre;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Porto Acre
1200393;Porto Walter;Câmara Municipal de Porto Walter;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Porto Walter
1200401;Rio Branco;Câmara Municipal de Rio Branco;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Rio Branco
1200427;Rodrigues Alves;Câmara Municipal de Rodrigues Alves;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Rodrigues Alves
1200435;Santa Rosa do Purus;Câmara Municipal de Santa Rosa do Purus;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Santa Rosa do Purus
1200500;Sena Madureira;Câmara Municipal de Sena Madureira;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Sena Madureira
1200450;Senador Guiomard;Câmara Municipal de Senador Guiomard;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Senador Guiomard
1200609;Tarauacá;Câmara Municipal de Tarauacá;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Tarauacá
1200708;Xapuri;Câmara Municipal de Xapuri;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Xapuri
1300029;Alvarães;Câmara Municipal de Alvarães;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Alvarães
1300060;Amaturá;Câmara Municipal de Amaturá;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Amaturá
1300086;Anamã;Câmara Municipal de Anamã;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Anamã
1300102;Anori;Câmara Municipal de Anori;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Anori
1300144;Apuí;Câmara Municipal de Apuí;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;C.M de Apuí
