cd_cidade;cidade;nome;favorabilidade;importancia;classificacaoAtor;tipoDocumento;tipoAtor;apelido
1100254;Presidente Médici;Prefeitura de Presidente Médici;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Presidente Médici
1101476;Primavera de Rondônia;Prefeitura de Primavera de Rondônia;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Primavera de Rondônia
1100262;Rio Crespo;Prefeitura de Rio Crespo;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Rio Crespo
1100288;Rolim de Moura;Prefeitura de Rolim de Moura;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Rolim de Moura
1100296;Santa Luzia D'Oeste;Prefeitura de Santa Luzia D'Oeste;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Santa Luzia D'Oeste
1101484;São Felipe D'Oeste;Prefeitura de São Felipe D'Oeste;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de São Felipe D'Oeste
1101492;São Francisco do Guaporé;Prefeitura de São Francisco do Guaporé;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de São Francisco do Guaporé
1100320;São Miguel do Guaporé;Prefeitura de São Miguel do Guaporé;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de São Miguel do Guaporé
1101500;Seringueiras;Prefeitura de Seringueiras;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Seringueiras
1101559;Teixeirópolis;Prefeitura de Teixeirópolis;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Teixeirópolis
1101609;Theobroma;Prefeitura de Theobroma;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Theobroma
1101708;Urupá;Prefeitura de Urupá;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Urupá
1101757;Vale do Anari;Prefeitura de Vale do Anari;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Vale do Anari
1101807;Vale do Paraíso;Prefeitura de Vale do Paraíso;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Vale do Paraíso
1100304;Vilhena;Prefeitura de Vilhena;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Vilhena
1200013;Acrelândia;Prefeitura de Acrelândia;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Acrelândia
1200054;Assis Brasil;Prefeitura de Assis Brasil;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Assis Brasil
1200104;Brasiléia;Prefeitura de Brasiléia;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Brasiléia
1200138;Bujari;Prefeitura de Bujari;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Bujari
1200179;Capixaba;Prefeitura de Capixaba;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Capixaba
1200203;Cruzeiro do Sul;Prefeitura de Cruzeiro do Sul;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Cruzeiro do Sul
1200252;Epitaciolândia;Prefeitura de Epitaciolândia;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Epitaciolândia
1200302;Feijó;Prefeitura de Feijó;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Feijó
1200328;Jordão;Prefeitura de Jordão;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Jordão
1200336;Mâncio Lima;Prefeitura de Mâncio Lima;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Mâncio Lima
1200344;Manoel Urbano;Prefeitura de Manoel Urbano;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Manoel Urbano
1200351;Marechal Thaumaturgo;Prefeitura de Marechal Thaumaturgo;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Marechal Thaumaturgo
1200385;Plácido de Castro;Prefeitura de Plácido de Castro;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Plácido de Castro
1200807;Porto Acre;Prefeitura de Porto Acre;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Porto Acre
1200393;Porto Walter;Prefeitura de Porto Walter;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Porto Walter
1200401;Rio Branco;Prefeitura de Rio Branco;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Rio Branco
1200427;Rodrigues Alves;Prefeitura de Rodrigues Alves;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Rodrigues Alves
1200435;Santa Rosa do Purus;Prefeitura de Santa Rosa do Purus;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Santa Rosa do Purus
1200500;Sena Madureira;Prefeitura de Sena Madureira;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Sena Madureira
1200450;Senador Guiomard;Prefeitura de Senador Guiomard;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Senador Guiomard
1200609;Tarauacá;Prefeitura de Tarauacá;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Tarauacá
1200708;Xapuri;Prefeitura de Xapuri;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Xapuri
1300029;Alvarães;Prefeitura de Alvarães;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Alvarães
1300060;Amaturá;Prefeitura de Amaturá;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Amaturá
1300086;Anamã;Prefeitura de Anamã;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Anamã
1300102;Anori;Prefeitura de Anori;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Anori
1300144;Apuí;Prefeitura de Apuí;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Apuí
1300201;Atalaia do Norte;Prefeitura de Atalaia do Norte;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Atalaia do Norte
1300300;Autazes;Prefeitura de Autazes;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Autazes
1300409;Barcelos;Prefeitura de Barcelos;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Barcelos
1300508;Barreirinha;Prefeitura de Barreirinha;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Barreirinha
1300607;Benjamin Constant;Prefeitura de Benjamin Constant;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Benjamin Constant
1300631;Beruri;Prefeitura de Beruri;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Beruri
1300680;Boa Vista do Ramos;Prefeitura de Boa Vista do Ramos;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Boa Vista do Ramos
1300706;Boca do Acre;Prefeitura de Boca do Acre;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Boca do Acre
1300805;Borba;Prefeitura de Borba;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Borba
1300839;Caapiranga;Prefeitura de Caapiranga;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Caapiranga
1300904;Canutama;Prefeitura de Canutama;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Canutama
1301001;Carauari;Prefeitura de Carauari;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Carauari
1301100;Careiro;Prefeitura de Careiro;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Careiro
1301159;Careiro da Várzea;Prefeitura de Careiro da Várzea;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Careiro da Várzea
1301209;Coari;Prefeitura de Coari;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Coari
1301308;Codajás;Prefeitura de Codajás;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Codajás
1301407;Eirunepé;Prefeitura de Eirunepé;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Eirunepé
1301506;Envira;Prefeitura de Envira;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Envira
1301605;Fonte Boa;Prefeitura de Fonte Boa;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Fonte Boa
1301654;Guajará;Prefeitura de Guajará;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Guajará
1301704;Humaitá;Prefeitura de Humaitá;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Humaitá
1301803;Ipixuna;Prefeitura de Ipixuna;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Ipixuna
1301852;Iranduba;Prefeitura de Iranduba;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Iranduba
1301902;Itacoatiara;Prefeitura de Itacoatiara;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Itacoatiara
1301951;Itamarati;Prefeitura de Itamarati;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Itamarati
1302009;Itapiranga;Prefeitura de Itapiranga;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Itapiranga
1302108;Japurá;Prefeitura de Japurá;NEUTRO;ALTA;PODER PÚBLICO;CNPJ;PESSOA_JURIDICA;P. de Japurá
